0	HalftimeHash24	clhash
1326	24.555555555555557135	30.136363636363636687
1339	24.345454545454543904	30.431818181818183433
1352	26.509803921568629193	31.441860465116278078
1365	24.818181818181816567	29.673913043478261642
1378	25.054545454545454675	29.956521739130433701
1391	23.18333333333333357	30.239130434782609314
1404	23.399999999999998579	29.872340425531913155
1418	27.803921568627451677	30.170212765957447942
1432	25.571428571428572951	31.822222222222222854
1446	24.508474576271186862	30.765957446808510412
1460	24.333333333333332149	30.416666666666667851
1474	28.901960784313725839	30.081632653061223692
1488	27.555555555555557135	31.659574468085107668
1502	25.896551724137932382	29.450980392156861143
1517	25.283333333333334991	28.62264150943396146
1532	24.709677419354839856	28.905660377358490365
1547	28.648148148148148806	28.127272727272728758
1562	27.403508771929825372	28.399999999999998579
1577	25.852459016393442681	28.672727272727271952
1592	25.269841269841268883	31.839999999999999858
1607	29.759259259259259522	28.696428571428572951
1623	27.508474576271186862	28.98214285714285765
1639	26.015873015873015817	28.754385964912280826
1655	25.461538461538459899	29.035087719298246611
1671	30.381818181818182723	29.315789473684208843
1687	28.593220338983051931	29.596491228070174628
1703	27.467741935483871885	29.877192982456140413
1720	26.461538461538459899	32.452830188679243406
1737	31.581818181818182012	29.440677966101695517
1754	30.241379310344829179	29.233333333333334281
1771	29.516666666666665719	29.516666666666665719
1788	28.83870967741935587	29.800000000000000711
1805	31.666666666666667851	29.590163934426229275
1823	29.885245901639343913	29.885245901639343913
1841	28.323076923076921929	30.18032786885245855
1859	33.196428571428569398	29.983870967741935942
1877	31.81355932203389969	30.274193548387096087
1895	29.609375	30.564516129032259784
1913	28.984848484848484418	30.365079365079363782
1932	33.310344827586206407	30.666666666666667851
1951	30.968253968253968367	30.484375
1970	31.269841269841268883	30.78125
1989	34.293103448275864764	31.078125
2008	32.918032786885248697	33.466666666666668561
2028	31.199999999999999289	31.199999999999999289
2048	35.929824561403506777	35.929824561403506777
2068	34.466666666666668561	29.126760563380280189
2088	32.12307692307692264	32.625
2108	30.55072463768116009	29.277777777777778567
2129	34.901639344262292752	29.569444444444442865
2150	32.575757575757577911	29.861111111111110716
2171	31.463768115942027492	30.152777777777778567
2192	35.934426229508197537	33.212121212121211045
2213	34.046153846153849543	30.736111111111110716
2235	32.867647058823528994	31.041666666666667851
2257	36.403225806451615654	31.788732394366196132
2279	34.014925373134325071	31.652777777777778567
2301	32.408450704225352013	31.958333333333332149
2324	36.888888888888885731	32.277777777777778567
2347	35.029850746268657247	32.597222222222221433
2370	39.5	32.916666666666664298
2393	36.815384615384616041	33.236111111111114269
2416	35.014492753623187582	34.02816901408450434
2440	38.730158730158727565	34.36619718309859195
2464	36.776119402985074203	35.200000000000002842
2488	35.042253521126760063	34.082191780821915472
2512	38.060606060606062329	33.945945945945943834
2537	37.30882352941176805	32.525641025641029103
